DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2018-07-26	2018-07-13	Thierry Bugier	tests/suite-unit/PluginFlyvemdmTask.php
2018-06-02	2018-08-01	Domingo Oropeza	tests/suite-unit/PluginFlyvemdmTaskstatus.php
2017-12-06	2017-11-28	Domingo Oropeza	tests/suite-unit/PluginFlyvemdmWellknownpath.php
2018-10-19	2018-10-08	Domingo Oropeza	tests/suite-unit/broker/BrokerBus.php
2018-11-01	2018-11-01	Domingo Oropeza	tests/suite-unit/broker/BrokerEnvelope.php
2018-10-15	2018-10-08	Domingo Oropeza	tests/suite-unit/broker/BrokerMessage.php
2017-07-17	2016-12-15	btry	tools/cli_install.php
2018-04-27	2018-04-18	Thierry Bugier	tools/dev/HEADER
2018-04-18	2018-04-18	Thierry Bugier	tools/dev/PHPStorm-GLPI-coding-convention.xml
2018-04-18	2018-04-18	Thierry Bugier	tools/dev/README.md
2018-04-18	2018-04-18	Thierry Bugier	tools/dev/eclipse-PDT-GLPI-coding-convention.xml
2018-02-18	2017-12-04	Domingo Oropeza	tpl/_agentInfo.html.twig
2017-05-22	2017-03-03	Thierry Bugier Pineau	tpl/agent.html.twig
2017-12-19	2017-12-04	Domingo Oropeza	tpl/agentComputerInfo.html.twig
2017-03-15	2017-03-03	Thierry Bugier Pineau	tpl/agent_dangerzone.html.twig
2017-07-20	2017-03-03	Thierry Bugier Pineau	tpl/agent_fleet.html.twig
2018-04-16	2018-03-23	Thierry Bugier	tpl/agent_taskstatus.html.twig
2017-08-08	2017-03-30	Thierry Bugier Pineau	tpl/computer_geolocation.html.twig
2017-11-09	2017-11-09	Thierry Bugier	tpl/config-applemdm.html.twig
2017-12-03	2017-10-29	Thierry Bugier	tpl/config-debug.html.twig
2018-02-24	2017-10-29	Thierry Bugier	tpl/config-messagequeue.html.twig
2018-01-29	2017-11-09	Thierry Bugier	tpl/config-wizard.html.twig
2017-09-30	2017-03-03	Thierry Bugier Pineau	tpl/config.html.twig
2017-08-20	2017-06-28	Thierry Bugier Pineau	tpl/entity_entityconfig.html.twig
2017-05-30	2017-03-03	Thierry Bugier Pineau	tpl/file.html.twig
2017-09-07	2017-03-03	Thierry Bugier Pineau	tpl/fleet.html.twig
2017-09-08	2017-03-03	Thierry Bugier Pineau	tpl/fleet_policy.html.twig
2018-04-09	2018-03-23	Thierry Bugier	tpl/fleet_taskstatus.html.twig
2017-12-24	2017-06-08	Thierry Bugier Pineau	tpl/invitation.html.twig
2017-03-03	2017-03-03	Thierry Bugier Pineau	tpl/mass_invitation.html.twig
2017-08-13	2017-03-03	Thierry Bugier Pineau	tpl/menu.html.twig
2018-09-18	2018-09-18	Domingo Oropeza	tpl/mqttlog_list.html.twig
2017-06-18	2017-03-03	Thierry Bugier Pineau	tpl/package.html.twig
2018-02-11	2018-02-01	Domingo Oropeza	tpl/policy_form.html.twig
2018-06-02	2018-05-31	Luis F. Gonzalez	tpl/policy_value.html.twig
