DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2017-12-16	2017-07-07	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/receivers/MQTTConnectivityReceiver.java
2019-07-21	2019-07-21	Stanislas	app/src/main/java/org/flyve/mdm/agent/service/RunOnStartup.java
2017-09-04	2017-08-15	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/DisclosureActivity.java
2017-10-11	2017-07-31	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/EditUserActivity.java
2018-04-18	2018-04-12	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/ErrorActivity.java
2017-12-09	2017-10-25	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentAbout.java
2018-01-26	2017-12-18	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentActivity.java
2018-03-01	2018-02-09	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentAppList.java
2018-08-24	2018-03-21	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentConfiguration.java
2018-04-27	2018-03-22	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentFeedback.java
2018-04-14	2018-04-11	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentFileList.java
2017-08-24	2017-07-31	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/FragmentHelp.java
2017-09-13	2017-07-20	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/FragmentInformation.java
2017-12-01	2017-07-18	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/FragmentLog.java
2018-02-19	2017-12-19	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentPolicies.java
2017-10-12	2017-08-17	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/FragmentSlideWalkthrough.java
2018-02-15	2017-11-25	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentTestPolicies.java
2018-12-14	2018-12-14	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/FragmentTopics.java
2018-04-19	2018-02-16	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/InstallAppActivity.java
2018-04-21	2017-11-14	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/LockActivity.java
2019-10-24	2019-10-24	Teclib	app/src/main/java/org/flyve/mdm/agent/ui/OptionsEnrollmentActivity.java
2018-04-27	2018-03-19	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/PermissionEnrollmentActivity.java
2017-09-29	2017-07-31	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/PreviewSupervisorActivity.java
2017-09-23	2017-08-16	Rafa Hernández	app/src/main/java/org/flyve/mdm/agent/ui/PreviewUserActivity.java
2018-04-23	2018-04-23	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/ScanActivity.java
2018-04-23	2018-04-23	Rafa Hernandez	app/src/main/java/org/flyve/mdm/agent/ui/ScannerView.java
