DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2002-11-01	2003-05-09	Greg Ward	Lib/distutils/msvccompiler.py
2002-11-11	2002-07-29	Jack Jansen	Mac/PythonLauncher/MyDocument.m
2002-11-22	2002-11-22	Thomas Heller	PC/bdist_wininst/README.txt
2002-11-25	2002-07-29	Jack Jansen	Mac/PythonLauncher/main.m
2002-11-27	1996-12-11	Barry Warsaw	Lib/test/test_nis.py
2002-11-28	2000-09-21	Lars Gustäbel	Lib/xml/sax/__init__.py
2002-12-08	1998-09-14	Guido van Rossum	Tools/scripts/untabify.py
2002-12-17	2000-08-15	David Scherer	Lib/idlelib/debugobj.py
2002-12-18	2000-03-01	Greg Ward	Lib/distutils/command/build.py
2002-12-30	2000-03-10	Guido van Rossum	Lib/encodings/utf_16_be.py
2003-01-20	2000-03-10	Guido van Rossum	Lib/encodings/utf_8.py
2003-01-21	1990-10-14	Guido van Rossum	Include/token.h
2003-01-26	1993-07-28	Guido van Rossum	Include/traceback.h
2003-01-26	2000-04-04	Greg Ward	Lib/distutils/dist.py
2003-01-26	2002-07-29	Jack Jansen	Mac/PythonLauncher/FileSettings.m
2003-01-28	2000-08-15	David Scherer	Lib/idlelib/window.py
2003-01-30	2000-08-15	David Scherer	Lib/idlelib/scrolledlist.py
2003-02-07	2000-03-10	Guido van Rossum	Lib/encodings/utf_16_le.py
2003-02-13	2002-07-29	Jack Jansen	Mac/PythonLauncher/MyAppDelegate.m
2003-02-17	2001-06-14	Tim Peters	Modules/testcapi_long.h
2003-02-23	2002-11-22	Thomas Heller	PC/bdist_wininst/extract.c
2003-02-26	1999-01-12	Guido van Rossum	Lib/asynchat.py
2003-03-11	1995-02-09	Guido van Rossum	Lib/copy.py
2003-03-19	2003-01-10	Kurt B. Kaiser	Lib/idlelib/HISTORY.txt
2003-03-19	2003-01-25	Martin v. Löwis	Lib/xml/dom/NodeFilter.py
2003-03-23	1996-05-28	Guido van Rossum	Lib/ftplib.py
2003-03-24	2001-10-03	Tim Peters	Lib/test/test_doctest2.py
2003-04-01	1994-06-23	Guido van Rossum	Lib/pstats.py
